time	type	subtype	content
185.433	state		release
185.585	event	timer	timer_event
185.592	print	task	0.01076269
185.642	state		release
185.794	event	timer	timer_event
185.846	state		release
185.998	event	timer	timer_event
186.050	state		release
186.202	event	timer	timer_event
186.254	state		release
186.406	event	timer	timer_event
186.412	print	task	0.03497791
186.463	state		release
186.615	event	timer	timer_event
186.667	state		release
186.819	event	timer	timer_event
186.871	state		release
187.023	event	timer	timer_event
187.075	state		release
187.227	event	timer	timer_event
187.233	print	task	0.05426073
187.284	state		release
187.436	event	timer	timer_event
187.488	state		release
187.640	event	timer	timer_event
187.692	state		release
187.844	event	timer	timer_event
187.896	state		release
188.048	event	timer	timer_event
188.054	print	task	0.0817647
188.105	state		release
188.257	event	timer	timer_event
188.309	state		release
188.461	event	timer	timer_event
188.513	state		release
188.665	event	timer	timer_event
188.717	state		release
188.869	event	timer	timer_event
188.875	print	task	0.1382675
188.926	state		release
189.078	event	timer	timer_event
189.130	state		release
189.282	event	timer	timer_event
189.334	state		release
189.486	event	timer	timer_event
189.538	state		release
189.690	event	timer	timer_event
189.696	print	task	0.1346798
189.747	state		release
189.899	event	timer	timer_event
189.951	state		release
190.103	event	timer	timer_event
190.155	state		release
190.307	event	timer	timer_event
190.359	state		release
190.511	event	timer	timer_event
190.517	print	task	0.1665187
190.568	state		release
190.720	event	timer	timer_event
190.772	state		release
190.924	event	timer	timer_event
190.976	state		release
191.128	event	timer	timer_event
191.180	state		release
191.332	event	timer	timer_event
191.338	print	task	0.2290006
191.439	state		post_release
191.446	variable	print	{"poke": "A3", "release_duration": 150, "n_release": 32, "release_weight": 0.1958165}
191.546	state		pre_release
191.653	state		release
191.805	event	timer	timer_event
191.857	state		release
192.009	event	timer	timer_event
192.061	state		release
192.213	event	timer	timer_event
192.265	state		release
192.417	event	timer	timer_event
192.423	print	task	0.125113
192.474	state		release
192.626	event	timer	timer_event
192.678	state		release
192.830	event	timer	timer_event
192.882	state		release
193.034	event	timer	timer_event
193.086	state		release
193.238	event	timer	timer_event
193.244	print	task	0.2680702
193.345	state		post_release
193.352	variable	print	{"poke": "B1", "release_duration": 150, "n_release": 8, "release_weight": 0.2301965}
193.452	state		pre_release
193.559	state		release
193.711	event	timer	timer_event
193.763	state		release
193.915	event	timer	timer_event
193.967	state		release
194.119	event	timer	timer_event
194.171	state		release
194.323	event	timer	timer_event
194.329	print	task	0.1727967
194.380	state		release
194.537	event	timer	timer_event
194.589	state		release
194.741	event	timer	timer_event
194.793	state		release
194.945	event	timer	timer_event
194.997	state		release
195.149	event	timer	timer_event
195.155	print	task	0.2998533
195.256	state		post_release
195.263	variable	print	{"poke": "B2", "release_duration": 150, "n_release": 8, "release_weight": 0.2379694}
195.363	state		pre_release
195.470	state		release
195.622	event	timer	timer_event
195.674	state		release
195.826	event	timer	timer_event
195.878	state		release
196.030	event	timer	timer_event
196.082	state		release
196.234	event	timer	timer_event
196.240	print	task	0.1530657
196.291	state		release
196.443	event	timer	timer_event
196.495	state		release
196.647	event	timer	timer_event
196.699	state		release
196.851	event	timer	timer_event
196.903	state		release
197.055	event	timer	timer_event
197.061	print	task	0.3086724
197.162	state		post_release
197.169	variable	print	{"poke": "B3", "release_duration": 150, "n_release": 8, "release_weight": 0.2460413}
197.269	state		pre_release
197.376	state		release
197.528	event	timer	timer_event
197.580	state		release
197.732	event	timer	timer_event
197.784	state		release
197.936	event	timer	timer_event
197.988	state		release
198.140	event	timer	timer_event
198.146	print	task	0.193574
198.197	state		release
198.349	event	timer	timer_event
198.401	state		release
198.553	event	timer	timer_event
198.605	state		release
198.757	event	timer	timer_event
198.809	state		release
198.961	event	timer	timer_event
198.967	print	task	0.2985077
199.068	state		post_release
199.075	variable	print	{"poke": "C1", "release_duration": 150, "n_release": 8, "release_weight": 0.2432008}
199.175	state		pre_release
199.282	state		release
199.434	event	timer	timer_event
199.486	state		release
199.638	event	timer	timer_event
199.690	state		release
199.842	event	timer	timer_event
199.894	state		release
200.046	event	timer	timer_event
200.052	print	task	0.05975389
200.103	state		release
200.255	event	timer	timer_event
200.307	state		release
200.459	event	timer	timer_event
200.511	state		release
200.663	event	timer	timer_event
200.715	state		release
200.867	event	timer	timer_event
200.873	print	task	0.1312418
200.924	state		release
201.076	event	timer	timer_event
201.128	state		release
201.280	event	timer	timer_event
201.332	state		release
201.484	event	timer	timer_event
201.536	state		release
201.688	event	timer	timer_event
201.694	print	task	0.213604
201.795	state		post_release
201.802	variable	print	{"poke": "C2", "release_duration": 150, "n_release": 12, "release_weight": 0.1681628}
201.902	state		pre_release
202.009	state		release
202.161	event	timer	timer_event
202.213	state		release
202.365	event	timer	timer_event
202.417	state		release
202.569	event	timer	timer_event
202.621	state		release
202.773	event	timer	timer_event
202.779	print	task	0.02322531
202.830	state		release
202.982	event	timer	timer_event
203.034	state		release
203.186	event	timer	timer_event
203.243	state		release
203.395	event	timer	timer_event
203.447	state		release
203.599	event	timer	timer_event
203.605	print	task	0.07858849
203.656	state		release
203.808	event	timer	timer_event
203.860	state		release
204.012	event	timer	timer_event
204.064	state		release
204.216	event	timer	timer_event
204.268	state		release
204.420	event	timer	timer_event
204.426	print	task	0.1330357
204.477	state		release
204.629	event	timer	timer_event
204.681	state		release
204.833	event	timer	timer_event
204.885	state		release
205.037	event	timer	timer_event
205.089	state		release
